[                      Monday, 7 November, 2016      SUCCESS  ] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST PHR-10 - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST TEST PHR - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - STC 1234561 TEST - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - TEST1 - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST PHR-10 - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST TEST PHR - No matching records found (ODBC -2028)] 
[                      Monday, 7 November, 2016      SUCCESS  ] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST PHR-10 - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST TEST PHR - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - STC 1234561 TEST - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - TEST1 - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST PHR-10 - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST TEST PHR - No matching records found (ODBC -2028)] 
[                      Monday, 7 November, 2016      SUCCESS  ] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST PHR-10 - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST TEST PHR - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - STC 1234561 TEST - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - TEST1 - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST PHR-10 - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST TEST PHR - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST PHR-10 - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST TEST PHR - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - STC 1234561 TEST - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - TEST1 - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST PHR-10 - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST TEST PHR - No matching records found (ODBC -2028)] 
[                      Monday, 7 November, 2016      SUCCESS  ] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST PHR-10 - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST TEST PHR - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - STC 1234561 TEST - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - TEST1 - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST PHR-10 - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST TEST PHR - No matching records found (ODBC -2028)] 
[                      Monday, 7 November, 2016      SUCCESS  ] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST PHR-10 - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - JST TEST PHR - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - STC 1234561 TEST - No matching records found (ODBC -2028)] 
[TESTV02               Monday, 7 November, 2016      FAIL     Could not create BP Price list to Target Company- TESTV02 - TEST1 - No matching records found (ODBC -2028)] 
